rank,restaurants,location,,ratings,reviews
1,Fraiche,Birkenhead,,4.8,84
2,The Five Fields,London,,4.7,266
3,Mana,Manchester,,4.7,192
4,Restaurant Sat Bains,Nottingham,,4.7,455
5,Moor Hall,Ormskirk,,4.8,460
6,Hambleton Hall,Oakham,,4.8,349
7,The Ledbury,London,,4.7,1325
8,Kitchen Table,London,,4.6,110
9,Core by Clare Smyth,London,,4.8,831
10,Casamia,Bristol,,4.8,280
11,Outlaw's New Road,Port Isaac,,4.7,269
12,L'Enclume,Cartmel,,4.8,705
13,Umu,London,,4.3,388
14,The Waterside Inn,Bray,,4.8,527
15,Belmond Le Manoir aux Quat' Saisons,Oxford,,4.8,1030
16,Etch,Hove,,4.8,208
17,Maos,London,,4.4,56
18,Endo at the Rotunda,London,,4.8,89
19,Adam Reid at The French,Manchester,,4.7,218
20,Lumiere,Cheltenham,,4.9,118
21,The Araki,London,,4.5,206
22,Texture [CLOSED],London,,4.5,298
23,Hakkasan Mayfair,London,,4.4,2700
24,Winteringham Fields,Winteringham,,4.7,216
25,Orwells,Henley-on-thames,,4.7,172
26,Sushi Tetsu,London,,4.8,393
27,Amaya,London,,4.3,1027
28,Restaurant Andrew Fairlie at Gleneagles,Auchterarder,,4.8,59
29,Adam's,Birmingham,,4.8,710
30,The Little Fish Market,Hove,,4.8,162
31,Restaurant Martin Wishart,Edinburgh,,4.7,352
32,Roganic [CLOSED],London,,4.5,236
33,Le Cochon Aveugle,York,,4.8,140
34,Gymkhana,London,,4.5,1170
35,Hipping Hall,Kirkby Lonsdale,,4.8,153
36,Dastaan,Epsom,,4.7,619
37,House of Tides,Newcastle Upon Tyne,,4.7,397
38,Sorrel,Dorking,,4.9,237
39,Indian Accent [CLOSED],London,,4.4,402
40,Morston Hall,Blakeney,,4.9,253
41,The Peat Inn,St Andrews,,4.8,282
42,The Neptune Restaurant with Rooms,Hunstanton,,4.8,70
43,Opheem,Birmingham,,4.6,348
44,The Artichoke,Amersham,,4.6,205
45,Sosban and The Old Butcher's,Menai Bridge,,4.8,58
46,Le Gavroche,London,,4.7,819
47,La Dame de Pic London,London,,4.6,387
48,Zuma,London,,4.6,1687
49,Fordwich Arms,Canterbury,,4.5,566
50,Lympstone Manor,Exmouth,,4.6,326
51,Lake Road Kitchen,Ambleside,,4.7,96
52,Purnell's,Birmingham,,4.7,546
53,Roski,Liverpool,,4.8,244
54,Paul Ainsworth at No. 6,Padstow,,4.8,535
55,Raby Hunt,Darlington,,4.7,122
56,The Whitebrook,Monmouth,,4.7,175
57,Bohemia,Jersey,,4.4,236
58,Stark,Broadstairs,,4.9,66
59,La Petite Maison,London,,4.6,548
60,21212,Edinburgh,,4.4,285
61,AW Restaurant at The Westbury Mayfair Hotel [CLOSED],London,,4.6,171
62,Ikoyi,London,,4.5,515
63,Ynyshir,Machynlleth,,4.8,132
64,Hunan,London,,4.5,346
65,A. Wong,London,,4.4,818
66,Roka Charlotte Street,London,,4.4,1938
67,Chez Bruce,London,,4.8,789
68,1921 Angel Hill,Bury St Edmunds,,4.7,56
69,Elystan Street,London,,4.7,296
70,Street XO [CLOSED],London,,4.4,1699
71,Ooty [CLOSED],London,,4.5,103
72,The Black Swan at Oldstead,York,,4.8,415
73,Restaurant MCR [CLOSED],Manchester,,4.7,68
74,Gravetye Manor Hotel,East Grinstead,,4.8,490
75,Number One at The Balmoral,Edinburgh,,4.6,182
76,Babur,London,,4.6,666
77,The Blackbird [CLOSED],Bagnor,,4.3,236
78,The Sportsman,Whitstable,,4.6,517
79,Club Gascon,London,,4.6,337
80,The Moorcock Inn,Sowerby Bridge,,4.7,315
81,Northcote,Blackburn,,4.7,776
82,The Frog Hoxton [CLOSED],London,,4.5,436
83,Midsummer House,Cambridge,,4.7,446
84,Trinity Restaurant,London,,4.7,475
85,The Ninth,London,,4.5,624
86,Caractere,London,,4.8,147
87,Skosh,York,,4.8,547
88,Seven Park Place by William Drabble,London,,4.6,152
89,Indian Essence,London,,4.5,455
90,La Trompette,London,,4.6,621
91,Crab House Cafe,Wyke Regis,,4.7,945
92,Joro,Sheffield,,4.7,343
93,Kahani,London,,4.4,240
94,Ormer Mayfair,London,,4.7,346
95,Box Tree,Ilkley,,4.7,217
96,The Barbary,London,,4.6,863
97,John's House,Mountsorrel,,4.9,386
98,Pollen Street Social,London,,4.6,973
99,The Small Holding,Cranbrook,,4.7,176
100,Trishna,London,,4.4,769
